event_id,source,match_start,districts,start,end,precision,evidence,note
,DesInventar,2010-09-16,Katakwi;Amuria;Soroti;Kumi;Bukedea;Kaberamaido,2010-09-01,2010-11-06,month,ACT Alert 32/2010 (8 Oct 2010) 'since September 2010 Teso has been experiencing flooding'; New Vision 26 Sep 2010,"Card date 16 Sep 2010 is the CAO-Katakwi report letter (CR/1061/1), not flood onset; ACT frames it as waterlogging building since April"
,DesInventar,2014-10-16,Katakwi,2014-10-06,2014-10-16,day,DesInventar CAO-Katakwi cards of 6 and 16 Oct 2014 only,Report-dated and single-source (no EM-DAT/ReliefWeb corroboration); cards typed RAINS. Treat as unverified
,DesInventar,2012-08-01,Katakwi;Amuria;Soroti,2012-08-01,2012-09-30,month,"IRIN 7 Sep 2012 'rains started early July, increased in intensity in late August'",Month-precision cards; day-precision cards exist on 2 Aug 2012 for Serere/Soroti
,DesInventar,2018-04-01,Katakwi,2018-04-01,2018-04-30,month,URCS via ReliefWeb 23 Aug 2018 'the April 2018 floods and landslides that hit Teso region',Month-precision card; region-wide about 5 deaths
,DesInventar,2006-12-01,Kotido,2006-12-01,2006-12-31,month,"DesInventar card sourced to URCS Disaster Management Programme, Jan 2007","Low confidence: single source, no ReliefWeb corroboration; EM-DAT's Oct-Dec 2006 record names no Karamoja district"
,DesInventar,2011-08-01,Kaabong,2011-08-05,2011-08-12,day,URCS 12 Aug 2011 'Mudslides in Kaabong and Bududa'; IRIN 15 Aug 2011,"Rockfall/mudslide, not riverine; date disputed (DesInventar 5 Aug via Daily Monitor 6 Aug, IRIN says the rocks gave way 10 Aug)"
2008-0527-UGA,,2008-11-17,,2008-11-01,2008-11-18,month,New Vision 12 Nov 2008; Daily Monitor 17 Nov 2008; IRIN 18 Nov 2008 'rains subside',EM-DAT's 17 Nov is the article date; onset was 'since the beginning of November' (Abim cut off 12 Nov). EM-DAT's 49 deaths likely conflates 2007's 47 with this event's 2
2007-0408-UGA,,2007-08-15,Katakwi;Amuria;Kapelebyong;Soroti;Ngora;Serere,2007-08-23,2007-11-06,day,"New Vision 13 Sep 2007 (first dated Teso deaths, 23 Aug); OCHA Uganda floods sitreps 1-13 (13 Nov: 'the floods have subsided')","EM-DAT/DFO carry one national envelope (15 Aug-31 Oct, DFO register 3170). Teso onset is the first dated deaths; peak ~12 Sep-5 Oct"
2007-0408-UGA,,2007-08-15,Kaabong;Karenga;Kotido;Abim;Moroto;Napak;Nabilatuk;Nakapiripirit;Amudat,2007-08-21,2007-10-31,month,New Vision 11 Sep 2007 ('three weeks of heavy rains'); New Vision 18 Sep 2007 ('17 killed in Karamoja'); OCHA sitrep 2,"Onset is month-precision (rains from July); intense from about 21 Aug, peak impact 17-18 Sep (Namalu bridge failed 17 Sep)"
2007-0408-UGA,,2007-08-15,Bududa;Bulambuli;Sironko;Manafwa;Namisindwa;Mbale;Kapchorwa;Kween;Bukwo;Butaleja;Budaka;Kibuku;Pallisa;Bukedea;Kumi,2007-08-01,2007-10-12,day,"DesInventar day-dated Elgon landslides 1 Aug, 1 Oct and 12 Oct 2007 (URCS Manjiya, Bududa DLG, CAO letter DDC/10/07); OCHA sitrep 1","First day-dated landslide 1 Aug (Bushika/Bufutsa, Bududa); last fatal landslide 12 Oct (Bulucheke, 8 dead)"
2007-0408-UGA,,2007-08-15,Adjumani;Moyo;Obongi;Pakwach;Nebbi;Madi Okollo,2007-09-01,2007-09-30,month,DesInventar (URCS; DPR focal person Pakwach) day records 12 Sep Arua and 20 Sep Pakwach; OCHA sitrep 4 (West Nile first appears in the government list of 28 Sep),"Weakest of the four: no contemporaneous source dates onset in Adjumani, Moyo or Obongi. Do not give West Nile the national 15 Aug start"
,DesInventar,2010-02-01,Bududa,2010-03-01,2010-03-01,day,"DesInventar raw record (fechadia=0, i.e. no day) names Nametsi, Kubewo and Namangasa and the Bulucheke camp - the 1 Mar 2010 debris flow; Al Jazeera 3 Mar 2010","Mis-dated to February, not a separate event. DesInventar holds at least eight overlapping entries for this one landslide (400/365/350/109/92/80/6 deaths), so its death counts double-count"
,DesInventar,2011-08-01,Bulambuli;Sironko,2011-08-28,2011-08-29,day,"DesInventar day records 28 Aug (Sisiyi, 26 dead) and 29 Aug (Sisiyi and Buluganya); Al Jazeera 30 Aug 2011",Month-precision aggregate card for the Bulambuli landslides of the night of 28-29 Aug; follow-on slides 7 Sep and floods 15-16 Sep are separately dated
,IOM DTM,2024-04-01,Butaleja,2024-04-03,2024-04-03,day,"IOM DTM April 2024 workbook (Mazimasa, 3 Apr); IFRC DREF MDRUG050",DTM round span replaced by the dated event row
,IOM DTM,2024-04-01,Bulambuli,2024-04-03,2024-04-23,day,IOM DTM April 2024 workbook (Bunambutye floods 3 Apr; Buluganya landslide and Nabbongo hailstorm 23 Apr),Two events in the month; span covers both
,IOM DTM,2024-04-01,Sironko,2024-04-16,2024-04-16,day,"IOM DTM April 2024 workbook (Bukiise, 16 Apr)",
,IOM DTM,2024-04-01,Bukedea,2024-04-24,2024-04-24,day,"IOM DTM April 2024 workbook (River Awoja, 24 Apr)","DTM 3,120 affected vs DREF MDRUG050 878"
,IOM DTM,2024-04-01,Mbale,2024-04-26,2024-04-26,day,"IOM DTM April 2024 workbook (Bufumbo landslide, 26 Apr)",
,IOM DTM,2023-11-01,Adjumani,2023-11-02,2023-11-07,day,"IOM DTM Nov 2023 workbook (Arinyapi, 2 Nov); Daily Monitor 9 Nov 2023 (two-day downpour from Sunday 5 Nov)","Two candidate dates for about the same 5,000-5,600 people; span covers both"
